Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 v1.0B0003.1,Failure,6 June 2021,18:45
2,CCAFS,Dragon,0,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 v1.0B0003.1,Failure,4 June 2010,18:45
3,CCAFS,Dragon,525 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 v1.0B0003.1,"No attempt
",8 December 2010,18:45
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.0B0003.1,No attempt,22 May 2012,18:45
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.0B0004.1,"No attempt
",8 October 2012,15:43
6,VAFB,CASSIOPE,500 kg,Polar orbit,"<a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>",Success,F9 v1.0B0005.1,Uncontrolled,1 March 2013,07:44
7,CCAFS,SES-8,"3,170 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,F9 v1.0B0006.1,No attempt,29 September 2013,00:35
8,CCAFS,Thaicom 6,"3,325 kg",GTO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>",Success,F9 v1.0B0007.1,No attempt,3 December 2013,15:10
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.1B1003,Controlled,6 January 2014,16:00
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>",Success,F9 v1.1,Controlled,18 April 2014,22:41
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,F9 v1.1,No attempt,14 July 2014,22:06
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,F9 v1.1,"No attempt
",5 August 2014,19:25
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 v1.1,Uncontrolled,7 September 2014,15:15
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 v1.1,Failure ,21 September 2014,08:00
15,Cape Canaveral,DSCOVR,570 kg,HEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>","Success
",F9 v1.1,Controlled,10 January 2015,05:00
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>","Success
",F9 v1.1,No attempt,11 February 2015,05:52
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.1,Failure,2 March 2015,09:47
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,"<a href=""/wiki/Turkmenistan_National_Space_Agency"" title=""Turkmenistan National Space Agency"">Turkmenistan National<br/>Space Agency</a>","Success
",F9 v1.1,No attempt,14 April 2015,23:03
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Failure,F9 v1.1,Precluded,27 April 2015,03:50
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>","Success
",F9 v1.1,Success,28 June 2015,20:10
21,VAFB,Jason-3,553 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.1,Failure,22 December 2015,23:03
22,Cape Canaveral,SES-9,"5,271 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>","Success
",F9 v1.1,Failure,17 January 2016,14:21
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 FT,Success,4 March 2016,01:29
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,"<a href=""/wiki/SKY_Perfect_JSAT"" title=""SKY Perfect JSAT"">SKY Perfect JSAT Group</a>","Success
",F9 v1.1,Success,8 April 2016,18:42
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>","Success
",F9 FT,Success,6 May 2016,23:35
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>","Success
",F9 FT,Failure,27 May 2016,20:43
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 FT,Success,15 June 2016,05:21
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">SKY Perfect JSAT Group</a>","Success
",F9 FT,Success,18 July 2016,21:39
29,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",F9 FT,Success,14 August 2016,14:29
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 FT,Success,14 January 2017,04:45
31,KSC,EchoStar 23,"5,600 kg",GTO,"<a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar</a>","Success
",F9 FT,No attempt,19 February 2017,05:26
32,KSC,SES-10,"5,300 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,F9 FT,Success,16 March 2017,17:54
33,KSC,NROL-76,C,LEO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>","Success
",F9 FT,Success,30 March 2017,14:39
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,"<a href=""/wiki/Inmarsat"" title=""Inmarsat"">Inmarsat</a>","Success
",F9 FT,No attempt,1 May 2017,06:00
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 FT♺,Success,15 May 2017,22:27
36,KSC,BulgariaSat-1,"3,669 kg",GTO,"<a href=""/wiki/Bulsatcom"" title=""Bulsatcom"">Bulsatcom</a>","Success
",F9 FT,Success,3 June 2017,11:15
37,VAFB,Iridium NEXT,"9,600 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",F9 FT,Success,23 June 2017,23:21
38,KSC,Intelsat 35e,"6,761 kg",GTO,"<a href=""/wiki/Intelsat"" title=""Intelsat"">Intelsat</a>","Success
",F9 FT,No attempt,25 June 2017,21:07
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 FTB1029.2,Success,5 July 2017,19:10
40,VAFB,Formosat-5,475 kg,SSO,"<a class=""mw-redirect"" href=""/wiki/National_Space_Organization"" title=""National Space Organization"">NSPO</a>","Success
",F9 FT,Success,14 August 2017,20:25
41,KSC,Boeing X-37B,"4,990 kg",LEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>","Success
",F9 FT,Success,24 August 2017,23:38
42,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",F9 B4,Success,7 September 2017,16:31
